Key,Id,Arabic (Saudi Arabia)(ar-SA),Bulgarian (Bulgaria)(bg-BG),Chinese (Simplified)(zh-CN),Chinese (Traditional)(zh-TW),Czech (Czech Republic)(cs-CZ),Dutch (Belgium)(nl-BE),Dutch (Netherlands)(nl-NL),English (United Kingdom)(en-GB),French (France)(fr-FR),German (Germany)(de-DE),Hindi (India)(hi-IN),Italian (Italy)(it-IT),Japanese (Japan)(ja-JP),Polish (Poland)(pl-PL),Russian (Russia)(ru-RU),Spanish (Spain)(es-ES),Swedish (Sweden)(sv-SE)
"pancakes_subtitle",50095710215,"المفضلة في الفطور","Любима закуска за закуска","早餐最爱","早餐最愛","Oblíbená snídaně","Favoriet ontbijt","Favoriet ontbijt","Breakfast Favorite","Petit-déjeuner préféré","Beliebtes Frühstück","नाश्ते का पसंदीदा","Colazione preferita","朝食のお気に入り","Ulubione śniadanie","Любимый завтрак","Desayuno favorito","Favoritfrukost"
"pancakes_description",50095710216,"فطائر رقيقة تقدم مع الشراب والتوت الطازج.","Пухкави палачинки, сервирани със сироп и пресни плодове.","蓬松的煎饼配糖浆和新鲜浆果。","蓬鬆的煎餅配糖漿和新鮮漿果。","Nadýchané palačinky podávané se sirupem a čerstvým ovocem.","Luchtige pannenkoeken geserveerd met siroop en verse bessen.","Luchtige pannenkoeken geserveerd met siroop en verse bessen.","Fluffy pancakes served with syrup and fresh berries.","Des crêpes moelleuses servies avec du sirop et des baies fraîches.","Fluffige Pfannkuchen mit Sirup und frischen Beeren.","सिरप और ताज़े जामुन के साथ परोसे जाने वाले फूली हुई पैनकेक।","Frittelle soffici servite con sciroppo e frutti di bosco freschi.","シロップと新鮮なベリーと一緒に提供されるふわふわのパンケーキ。","Puszyste naleśniki podawane z syropem i świeżymi owocami.","Пышные блины с сиропом и свежими ягодами.","Tortitas esponjosas servidas con sirope y bayas frescas.","Fluffiga pannkakor serverade med sirap och färska bär."
"gazpacho_title",50095710217,"غازباتشو","Гаспачо","西班牙冷汤","西班牙冷湯","Gazpacho","Gazpacho","Gazpacho","Gazpacho","Gazpacho","Gazpacho","गैज़्पाचो","Gazpacho","ガスパチョ","Gazpacho","Гаспачо","Gazpacho","Gazpacho"
"gazpacho_subtitle",50095710218,"شوربة إسبانية باردة","Испанска студена супа","冰镇西班牙汤","冰鎮西班牙湯","Španělská studená polévka","Spannse koude soep","Spaanse koude soep","Chilled Spanish Soup","Soupe espagnole froide","Kalte spanische Suppe","स्पेनिश ठंडी सूप","Zuppa fredda spagnola","冷たいスペインのスープ","Zimna hiszpańska zupa","Холодный испанский суп","Sopa fría española","Kall spansk soppa"
"gazpacho_description",50095710219,"شوربة طماطم وخضروات منعشة تقدم باردة.","Освежаваща супа от домати и зеленчуци, сервирана студена.","清爽的番茄蔬菜汤，冷食。","清爽的番茄蔬菜湯，冷食。","Osvěžující rajčatová a zeleninová polévka podávaná studená.","Verfrissende tomaten- en groentesoep geserveerd koud.","Verfrissende tomaten- en groentesoep geserveerd koud.","Refreshing tomato and vegetable soup served cold.","Soupe rafraîchissante à la tomate et aux légumes servie froide.","Erfrischende Tomaten-Gemüsesuppe, kalt serviert.","ठंडा परोसा जाने वाला ताज़ा टमाटर और सब्जी का सूप।","Zuppa rinfrescante di pomodoro e verdure servita fredda.","冷たくして提供されるさわやかなトマトと野菜のスープ。","Orzeźwiająca zupa pomidorowo-warzywna podawana na zimno.","Освежающий томатный и овощной суп, подается холодным.","Sopa refrescante de tomate y verduras servida fría.","Uppfriskande tomat- och grönsakssoppa serverad kall."
"cappuccino_title",50095710220,"كابتشينو","Капучино","卡布奇诺","卡布奇諾","Cappuccino","Cappuccino","Cappuccino","Cappuccino","Cappuccino","Cappuccino","कैप्पुकिनो","Cappuccino","カプチーノ","Cappuccino","Капучино","Capuchino","Cappuccino"
"cappuccino_subtitle",50095710221,"مشروب إسبريسو","Напитка еспресо","浓缩咖啡饮品","濃縮咖啡飲品","Nápoj z espressa","Espressodrank","Espressodrank","Espresso Drink","Boisson à l'espresso","Espresso-Getränk","एस्प्रेसो ड्रिंक","Bevanda all'espresso","エスプレッソドリンク","Napój espresso","Эспрессо-напиток","Bebida de espresso","Espressodryck"
"cappuccino_description",50095710222,"إسبريسو غني يعلوه رغوة الحليب المبخر.","Богато еспресо, покрито с пара от млячна пяна.","浓郁的浓缩咖啡，上面是蒸牛奶泡沫。","濃郁的濃縮咖啡，上面是蒸牛奶泡沫。","Bohaté espresso se šlehačkou z páry.","Rijke espresso met gestoomde melkschuim.","Rijke espresso met gestoomde melkschuim.","Rich espresso topped with steamed milk foam.","Un espresso riche surmonté de mousse de lait à la vapeur.","Kräftiger Espresso mit gedämpftem Milchschaum.","भाप वाले दूध के झाग से सजा गाढ़ा एस्प्रेसो।","Ricco espresso con schiuma di latte al vapore.","蒸気で泡立てたミルクのフォームをのせた濃厚なエスプレッソ。","Bogate espresso z spienionym mlekiem na parze.","Насыщенный эспрессо с молочной пенкой.","Espresso rico cubierto con espuma de leche al vapor.","Kraftfull espresso med ångad mjölkskum."
"pizza_spinaci_formaggio_title",50099904512,"بيتزا بالسبانخ والجبن","Пица със спанак и сирене","菠菜奶酪披萨","菠菜奶酪披薩","Pizza se špenátem a sýrem","Pizza met spinazie en kaas","Pizza met spinazie en kaas","Pizza con Spinaci e Formaggio","Pizza aux épinards et fromage","Pizza mit Spinat und Käse","पालक और पनीर वाली पिज्जा","Pizza con spinaci e formaggio","ほうれん草とチーズのピザ","Pizza ze szpinakiem i serem","Пицца со шпинатом и сыром","Pizza con espinacas y queso","Pizza med spenat och ost"
"pizza_spinaci_formaggio_subtitle",50099904513,"بيتزا إيطالية ريفية","Селска италианска пица","乡村意大利披萨","鄉村意大利披薩","Venkovská italská pizza","Landelijke Italiaanse pizza","Landelijke Italiaanse pizza","Rustic Italian Pizza","Pizza italienne rustique","Rustikale italienische Pizza","देहाती इतालवी पिज्जा","Pizza italiana rustica","素朴なイタリアのピザ","Rustykalna włoska pizza","Деревенская итальянская пицца","Pizza italiana rústica","Rustik italiensk pizza"
"pizza_spinaci_formaggio_description",50099904514,"بيتزا مغطاة بسبانخ صغير، موزاريلا كريمية وصلصة طماطم غنية.","Пица, покрита със спанак, кремообразна моцарела и богат доматен сос.","披萨上铺满嫩菠菜、奶油马苏里拉奶酪和浓郁的番茄酱。","披薩上鋪滿嫩菠菜、奶油馬蘇里拉奶酪和濃郁的番茄醬。","Pizza pokrytá baby špenátem, krémovou mozzarellou a bohatou rajčatovou omáčkou.","Pizza belegd met babyspinazie, romige mozzarella en rijke tomatensaus.","Pizza belegd met babyspinazie, romige mozzarella en rijke tomatensaus.","Pizza topped with baby spinach, creamy mozzarella, and rich tomato sauce.","Pizza garnie de jeunes épinards, de mozzarella crémeuse et d'une riche sauce tomate.","Pizza belegt mit Babyspinat, cremigem Mozzarella und reichhaltiger Tomatensauce.","पालक, क्रीमी मोज़ेरेला और अमीर टमाटर सॉस के साथ टॉप्ड पिज्जा।","Pizza condita con spinaci baby, mozzarella cremosa e ricca salsa di pomodoro.","ベビースピナッチ、クリーミーなモッツァレラ、濃厚なトマトソースをトッピングしたピザ。","Pizza z młodym szpinakiem, kremową mozzarellą i bogatym sosem pomidorowym.","Пицца с молодым шпинатом, сливочной моцареллой и насыщенным томатным соусом.","Pizza cubierta con espinacas tiernas, mozzarella cremosa y rica salsa de tomate.","Pizza toppad med babyspenat, krämig mozzarella och rik tomatssås."
"lohikeitto_title",50099904515,"لوهيكيتو","Лохикейто","三文鱼汤","三文魚湯","Lohikeitto","Lohikeitto","Lohikeitto","Lohikeitto","Lohikeitto","Lohikeitto","लोहिकीटो","Lohikeitto","ロヒケイット","Lohikeitto","Лохикейтто","Lohikeitto","Lohikeitto"
"lohikeitto_subtitle",50099904516,"شوربة السلمون الفنلندية","Финландска супа от сьомга","芬兰三文鱼汤","芬蘭三文魚湯","Finská lososová polévka","Finse zalmsoep","Finse zalmsoep","Finnish Salmon Soup","Soupe finlandaise au saumon","Finnische Lachssuppe","फिनिश सैल्मन सूप","Zuppa finlandese di salmone","フィンランドのサーモンスープ","Fińska zupa łososiowa","Финский суп с лососем","Sopa finlandesa de salmón","Finsk laxsoppa"
"lohikeitto_description",50099904517,"شوربة السلمون الكريمية مع البطاطس والشبت.","Кремообразна супа от сьомга с картофи и копър.","奶油三文鱼汤配土豆和莳萝。","奶油三文魚湯配土豆和蒔蘿。","Krémová lososová polévka s bramborami a koprem.","Romige zalmsoep met aardappelen en dille.","Romige zalmsoep met aardappelen en dille.","Creamy salmon soup with potatoes and dill.","Soupe crémeuse au saumon avec pommes de terre et aneth.","Cremige Lachssuppe mit Kartoffeln und Dill.","आलू और सोया के साथ क्रीमी सामन सूप।","Zuppa cremosa di salmone con patate e aneto.","ジャガイモとディルを入れたクリーミーなサーモンスープ。","Kremowa zupa łososiowa z ziemniakami i koperkiem.","Сливочный суп с лососем, картофелем и укропом.","Sopa cremosa de salmón con patatas y eneldo.","Krämig laxsoppa med potatis och dill."
"ratatouille_title",50099904518,"راتاتوي","Рататуй","普罗旺斯炖菜","普羅旺斯燉菜","Ratatouille","Ratatouille","Ratatouille","Ratatouille","Ratatouille","Ratatouille","रतातुइल्ले","Ratatouille","ラタトゥイユ","Ratatouille","Рататуй","Ratatouille","Ratatouille"
"ratatouille_subtitle",50099904519,"يخنة الخضار الفرنسية","Френска зеленчукова яхния","法式蔬菜炖菜","法式蔬菜燉菜","Francouzský zeleninový guláš","Franse groentestoofpot","Franse groentestoofpot","French Vegetable Stew","Ragoût de légumes français","Französischer Gemüseeintopf","फ्रेंच सब्जी स्ट्यू","Stufato di verdure francese","フランスの野菜シチュー","Francuski gulasz warzywny","Французское овощное рагу","Estofado de verduras francés","Fransk grönsaksgryta"
"ratatouille_description",50099904520,"يخنة غنية بالخضروات الطازجة والأعشاب.","Сытна яхния от пресни зеленчуци и подправки.","新鲜蔬菜和香草炖制的丰盛炖菜。","新鮮蔬菜和香草燉製的豐盛燉菜。","Vydatný guláš z čerstvé zeleniny a bylinek.","Een stevige stoofpot van verse groenten en kruiden.","Een stevige stoofpot van verse groenten en kruiden.","A hearty stew of fresh vegetables and herbs.","Un ragoût copieux de légumes frais et d'herbes.","Ein herzhafter Eintopf aus frischem Gemüse und Kräutern.","ताजी सब्जियों और जड़ी-बूटियों का एक हार्दिक स्ट्यू।","Uno stufato sostanzioso di verdure fresche ed erbe aromatiche.","新鮮な野菜とハーブを使ったハートフルなシチュー。","Pożywna potrawka ze świeżych warzyw i ziół.","Сытное рагу из свежих овощей и трав.","Un estofado abundante de verduras frescas y hierbas.","En stadig gryta med färska grönsaker och örter."
"alfredo_pasta_title",50099904521,"معكرونة ألفريدو","Паста Алфредо","阿尔弗雷多意面","阿爾弗雷多意麵","Alfredo těstoviny","Alfredo-pasta","Alfredo-pasta","Alfredo Pasta","Pâtes Alfredo","Alfredo-Pasta","अल्फ्रेडो पास्ता","Pasta Alfredo","アルフレードパスタ","Makaron Alfredo","Паста Альфредо","Pasta Alfredo","Alfredopasta"
"alfredo_pasta_subtitle",50099904522,"المعكرونة الإيطالية الكريمية","Кремова италианска паста","奶油意大利面","奶油義大利麵","Krémové italské těstoviny","Romige Italiaanse pasta","Romige Italiaanse pasta","Creamy Italian Pasta","Pâtes italiennes crémeuses","Cremige italienische Pasta","क्रीमी इतालवी पास्ता","Pasta italiana cremosa","クリーミーなイタリアのパスタ","Kremowy włoski makaron","Кремовая итальянская паста","Pasta italiana cremosa","Krämig italiensk pasta"
"alfredo_pasta_description",50099904523,"معكرونة غنية مع صلصة ألفريدو الكريمية والبارميزان.","Богата паста с кремов сос Алфредо и пармезан.","浓郁的意大利面配奶油阿尔弗雷多酱和帕尔马干酪。","濃郁的義大利麵配奶油阿爾弗雷多醬和帕馬森乾酪。","Bohaté těstoviny s krémovou Alfredo omáčkou a parmezánem.","Rijke pasta met romige Alfredosaus en parmezaan.","Rijke pasta met romige Alfredosaus en parmezaan.","Rich pasta with creamy Alfredo sauce and parmesan.","Des pâtes riches avec une sauce Alfredo crémeuse et du parmesan.","Reichhaltige Pasta mit cremiger Alfredo-Sauce und Parmesan.","क्रीमी अल्फ्रेडो सॉस और परमेसन के साथ समृद्ध पास्ता।","Pasta ricca con salsa Alfredo cremosa e parmigiano.","クリーミーなアルフレードソースとパルメザンチーズのリッチなパスタ。","Bogaty makaron z kremowym sosem Alfredo i parmezanem.","Сытная паста с сливочным соусом Альфредо и пармезаном.","Pasta rica con salsa Alfredo cremosa y parmesano.","Rik pasta med krämig Alfredosås och parmesan."
"mexican_taco_title",50099904524,"تاكو مكسيكي","Мексиканско тако","墨西哥塔可","墨西哥塔可","Mexické taco","Mexicaanse taco","Mexicaanse taco","Mexican Taco","Taco mexicain","Mexikanischer Taco","मैक्सिकन टैको","Taco messicano","メキシコのタコス","Meksykańskie taco","Мексиканское тако","Taco mexicano","Mexikansk taco"
"mexican_taco_subtitle",50099904525,"الطعام المكسيكي الحار في الشوارع","Пикантна мексиканска улична храна","墨西哥街头辣味小吃","墨西哥街頭辣味小吃","Pikantní mexické pouliční jídlo","Pittig Mexicaans straatvoedsel","Pittig Mexicaans straatvoedsel","Spicy Mexican Street Food","Nourriture de rue mexicaine épicée","Würziges mexikanisches Straßenessen","मसालेदार मैक्सिकन स्ट्रीट फूड","Cibo di strada messicano piccante","スパイシーなメキシコの屋台料理","Pikantne meksykańskie jedzenie uliczne","Острая мексиканская уличная еда","Comida callejera mexicana picante","Kryddig mexikansk gatumat"
"mexican_taco_description",50099904526,"أقراص الذرة الطرية محشوة بلحم البقر المتبل والإضافات الطازجة.","Меки царевични тортили, пълнени с подправена телешко и пресни добавки.","柔软的玉米饼，内馅为五香牛肉和新鲜配料。","柔軟的玉米餅，內餡為五香牛肉和新鮮配料。","Měkké kukuřičné tortilly plněné kořeněným hovězím masem a čerstvými přísadami.","Zachte maïstortilla's gevuld met gekruid rundvlees en verse toppings.","Zachte maïstortilla's gevuld met gekruid rundvlees en verse toppings.","Soft corn tortillas filled with spiced beef and fresh toppings.","Des tortillas de maïs souples garnies de bœuf épicé et de garnitures fraîches.","Weiche Mais-Tortillas gefüllt mit gewürztem Rindfleisch und frischen Belägen.","मसालेदार बीफ और ताजे टॉपिंग से भरे नरम मकई के टॉर्टिला।","Tortillas di mais morbide ripiene di manzo speziato e condimenti freschi.","スパイシーな牛肉と新鮮なトッピングを詰めた柔らかいコーントルティーヤ。","Miękkie tortille kukurydziane nadziewane pikantną wołowiną i świeżymi dodatkami.","Мягкие кукурузные лепешки с пряной говядиной и свежими начинками.","Tortillas de maíz suaves rellenas de carne de res especiada y ingredientes frescos.","Mjuka majstortillas fyllda med kryddat nötkött och färska pålägg."
"samosa_title",50099904527,"ساموسا","Самоса","萨莫萨三角饺","薩莫薩三角餃","Samosa","Samosa","Samosa","Samosa","Samosa","Samosa","समोसा","Samosa","サモサ","Samosa","Самоса","Samosa","Samosa"
"samosa_subtitle",50099904528,"وجبة خفيفة هندية","Индийска закуска","印度小吃","印度小吃","Indická svačina","Indisch hapje","Indisch hapje","Indian Snack","Snack indien","Indischer Snack","भारतीय नाश्ता","Spuntino indiano","インドのスナック","Indyjska przekąska","Индийская закуска","Aperitivo indio","Indiskt mellanmål"
"samosa_description",50099904529,"عجينة مقرمشة محشوة بالبطاطس المتبلة والبازلاء.","Хрупкаво тесто, пълнено с подправени картофи и грах.","酥脆的糕点，内馅为五香土豆和豌豆。","酥脆的糕點，內餡為五香土豆和豌豆。","Křupavé těsto plněné kořeněnými bramborami a hráškem.","Knapperig gebak gevuld met gekruide aardappelen en erwten.","Knapperig gebak gevuld met gekruide aardappelen en erwten.","Crispy pastry filled with spiced potatoes and peas.","Pâtisserie croustillante garnie de pommes de terre épicées et de pois.","Knuspriges Gebäck gefüllt mit gewürzten Kartoffeln und Erbsen.","मसालेदार आलू और मटर से भरा कुरकुरा पेस्ट्री।","Pasta croccante ripiena di patate speziate e piselli.","スパイスで味付けしたジャガイモとエンドウ豆を詰めたサクサクのペストリー。","Chrupiące ciasto nadziewane przyprawionymi ziemniakami i groszkiem.","Хрустящее тесто с пряным картофелем и горошком.","Pastelería crujiente rellena de patatas especiadas y guisantes.","Krispigt bakverk fyllt med kryddad potatis och ärtor."
"xiaolongbao_title",50104098816,"شياولونغباو","Сяолунбао","小笼包","小籠包","Xiaolongbao","Xiaolongbao","Xiaolongbao","Xiaolongbao","Xiaolongbao","Xiaolongbao","ज़ियाओलोंगबाओ","Xiaolongbao","小籠包","Xiaolongbao","Сяолунбао","Xiaolongbao","Xiaolongbao"
"xiaolongbao_subtitle",50104098817,"زلابية الحساء الصينية","Китайски супени кнедли","中式汤包","中式湯包","Čínské polévkové knedlíky","Chinese soepdumplings","Chinese soepdumplings","Chinese Soup Dumplings","Boulettes de soupe chinoises","Chinesische Suppenknödel","चीनी सूप डम्पलिंग्स","Gnocchi di zuppa cinesi","中華スープ餃子","Chińskie pierożki z zupą","Китайские суповые пельмени","Empanadillas de sopa chinas","Kinesiska soppdump"
"xiaolongbao_description",50104098818,"زلابية طرية محشوة بلحم خنزير عصيري ومرق عطري.","Нежни кнедли, пълнени с сочна свинска месо и ароматен бульон.","皮薄馅多的小笼包，内含多汁猪肉和香浓汤汁","皮薄餡多的小籠包，內含多汁豬肉和香濃湯汁","Něžné knedlíky plněné šťavnatým vepřovým masem a voňavým vývarem.","Zachte dumplings gevuld met sappig varkensvlees en aromatische bouillon.","Zachte dumplings gevuld met sappig varkensvlees en aromatische bouillon.","Tender dumplings filled with juicy pork and aromatic broth.","Boulettes tendres garnies de porc juteux et bouillon aromatique.","Zarte Knödel gefüllt mit saftigem Schweinefleisch und aromatischer Brühe.","रसदार सूअर का मांस और सुगंधित शोरबा से भरा नाजुक डम्पलिंग।","Delicati gnocchi ripieni di succosa carne di maiale e brodo aromatico.","ジューシーな豚肉と香り高いスープが詰まった繊細な小籠包","Delikatne pierożki nadziewane soczystą wieprzowiną i aromatycznym bulionem.","Нежные пельмени с сочной свининой и ароматным бульоном.","Tiernos dumplings rellenos de jugoso cerdo y caldo aromático.","Mjuka dumplings fyllda med saftig fläskkött och aromatisk buljong."
"nutrition_calories",50104098819,"سعرات حرارية","Калории","卡路里","卡路里","Kalorie","Calorieën","Calorieën","Calories","Calories","Kalorien","कैलोरी","Calorie","カロリー","Kalorie","Калории","Calorías","Kalorier"
"nutrition_protein",50104098820,"بروتين","Протеин","蛋白质","蛋白質","Bílkoviny","Eiwit","Eiwit","Protein","Protéines","Protein","प्रोटीन","Proteine","タンパク質","Białko","Белок","Proteína","Protein"
"nutrition_carbs",50104098821,"كربوهيدرات","Въглехидрати","碳水化合物","碳水化合物","Sacharidy","Koolhydraten","Koolhydraten","Carbohydrates","Glucides","Kohlenhydrate","कार्बोहाइड्रेट","Carboidrati","炭水化物","Węglowodany","Углеводы","Carbohidratos","Kolhydrater"
"nutrition_fat",50104098822,"دهون","Мазнини","脂肪","脂肪","Tuky","Vet","Vet","Fat","Graisses","Fett","वसा","Grassi","脂肪","Tłuszcze","Жиры","Grasas","Fett"
"nutrition_sugar",50104098823,"سكر","Захар","糖","糖","Cukr","Suiker","Suiker","Sugar","Sucres","Zucker","चीनी","Zucchero","砂糖","Cukier","Сахар","Azúcar","Socker"
"nutrition_sodium",50104098824,"صوديوم","Натрий","钠","鈉","Sodík","Natrium","Natrium","Sodium","Sodium","Natrium","सोडियम","Sodio","ナトリウム","Sód","Sodium","Sodio","Natrium"
"ingredient_barley",50104098825,"ملت الشعير","Ечемичен малц","大麦麦芽","大麥麥芽","Ječný slad","Gerstemout","Gerstemout","Barley Malt","Orge maltée","Gerstenmalz","जौ माल्ट","Malto d'orzo","大麦麦芽","Słód jęczmienny","Ячменный солод","Malta de cebada","Kornmalt"
"ingredient_hops",50104098826,"جنجل","Хмел","啤酒花","啤酒花","Chmel","Hop","Hop","Hops","Houblon","Hopfen","हॉप्स","Luppolo","ホップ","Chmiel","Хмель","Lúpulo","Humle"
"ingredient_water",50104098827,"ماء","Вода","水","水","Voda","Water","Water","Water","Eau","Wasser","पानी","Acqua","水","Woda","Вода","Agua","Vatten"
"ingredient_yeast",50104098828,"خميرة","Майка","酵母","酵母","Droždí","Gist","Gist","Yeast","Levure","Hefe","खमीर","Lievito","酵母","Drożdże","Дрожжи","Levadura","Jäst"
"ingredient_co2",50104098829,"ثاني أكسيد الكربون","Въглероден диоксид","二氧化碳","二氧化碳","Oxid uhličitý","Koolstofdioxide","Koolstofdioxide","Carbon Dioxide","Dioxyde de carbone","Kohlendioxid","कार्बन डाइऑक्साइड","Diossido di carbonio","二酸化炭素","Dwutlenek węgla","Диоксид углерода","Dióxido de carbono","Koldioxid"
"ingredient_apple",50104098830,"تفاح","Ябълки","苹果","蘋果","Jablka","Appels","Appels","Apples","Pommes","Äpfel","सेब","Mele","リンゴ","Jabłka","Яблоки","Manzanas","Äpplen"
"ingredient_dough",50104098831,"عجين الفطائر","Тесто за сладкиши","糕点面团","糕點麵團","Linecké těsto","Bladerdeeg","Bladerdeeg","Pastry Dough","Pâte feuilletée","Blätterteig","पेस्ट्री आटा","Pasta sfoglia","パイ生地","Ciasto francuskie","Слоёное тесто","Masa de hojaldre","Pastadeg"
"ingredient_cinnamon",50104098832,"قرفة","Канела","肉桂","肉桂","Skořice","Kaneel","Kaneel","Cinnamon","Cannelle","Zimt","दालचीनी","Cannella","シナモン","Cynamon","Корица","Canela","Kanel"
